Timestamp local time,Store ID,Store name,DoorDash transaction ID,DoorDash order ID,POS order ID,Transaction type,Channel,Description,Subtotal,Tax (subtotal),Customer fees,Tax (customer fees),Total tips,Commission,Tax (commission),Merchant fees | (for historical reference only),Tax (merchant fees) | (for historical reference only),Error charges,Adjustments | (for historical reference only),Net total,Payout date,Payout ID,Merchant fees,Tax (merchant fees),Marketing fees & discounts | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Adjustments
2024-12-10 20:04:55.282177000,787703,Pizza Palace (Reisterstown),11928553157,BB5A35D3,NULL,Order,Self-delivery,NULL,21.98,1.14,0.00,0.00,0.00,-1.14,0.00,-3.99,0.00,0.00,0.00,17.99,2024-12-16,446618440,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-10 20:55:28.792239000,787703,Pizza Palace (Reisterstown),11929146423,43B57E3F,NULL,Fee,Self-delivery,Ad fee for order_id: 43B57E3F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.90,0.00,0.00,0.00,-5.90,2024-12-16,446618440,0.00,0.00,-5.90,0.00,0.00,0.00
2024-12-10 21:25:59.715347000,787703,Pizza Palace (Reisterstown),11929471551,82B328CF,NULL,Order,Self-delivery,NULL,23.98,1.26,2.99,0.00,2.00,-3.15,0.00,-3.99,0.00,0.00,0.00,23.09,2024-12-16,446618440,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-10 21:58:57.184207000,787703,Pizza Palace (Reisterstown),11929783044,43B57E3F,NULL,Order,Self-delivery,NULL,29.98,1.62,0.00,0.00,3.50,-3.24,0.00,-3.99,0.00,0.00,0.00,27.87,2024-12-16,446618440,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-10 22:27:48.016776000,787703,Pizza Palace (Reisterstown),11930025724,246A9C23,NULL,Order,Self-delivery,NULL,20.98,1.08,0.00,0.00,2.00,-2.16,0.00,-3.99,0.00,0.00,0.00,17.91,2024-12-16,446618440,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-11 15:15:34.770373000,787703,Pizza Palace (Reisterstown),11934209046,96F5F6AA,NULL,Order,Self-delivery,NULL,13.24,0.80,0.00,0.00,0.00,-1.59,0.00,0.00,0.00,0.00,0.00,12.45,2024-12-16,446618440,0.00,0.00,0.00,0.00,0.00,0.00
2024-12-11 15:31:06.235887000,787703,Pizza Palace (Reisterstown),11934333677,96F5F6AA,NULL,Fee,Self-delivery,Ad fee for order_id: 96F5F6AA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,0.00,-3.00,2024-12-16,446618440,0.00,0.00,-3.00,0.00,0.00,0.00
2024-12-11 16:32:54.216312000,787703,Pizza Palace (Reisterstown),11934829904,DD10787D,NULL,Order,Self-delivery,NULL,34.98,1.79,0.00,0.00,5.00,-3.57,0.00,-6.24,0.00,0.00,0.00,31.96,2024-12-16,446618440,0.00,0.00,-6.24,0.00,0.00,0.00
2024-12-11 16:33:00.168818000,787703,Pizza Palace (Reisterstown),11934830724,6E6BCCF4,NULL,Order,Self-delivery,NULL,44.97,2.34,0.00,0.00,4.50,-4.68,0.00,-6.99,0.00,0.00,0.00,40.14,2024-12-16,446618440,0.00,0.00,-6.99,0.00,0.00,0.00
2024-12-11 16:44:00.500091000,787703,Pizza Palace (Reisterstown),11934918462,23633F87,NULL,Order,Self-delivery,NULL,19.74,1.01,0.00,0.00,4.50,-2.01,0.00,-3.95,0.00,0.00,0.00,19.29,2024-12-16,446618440,0.00,0.00,-3.95,0.00,0.00,0.00
2024-12-11 17:16:56.240842000,787703,Pizza Palace (Reisterstown),11935201837,23633F87,NULL,Fee,Self-delivery,Ad fee for order_id: 23633F87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.04,0.00,0.00,0.00,-5.04,2024-12-16,446618440,0.00,0.00,-5.04,0.00,0.00,0.00
